sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_021049.840.sgy,split_04_ch1750_2155,1750,2155,0003_RAW_20230719_021049.840,1,split_04_ch1750_2155/0003_RAW_20230719_021049.840/seg_001.png,1000,3000,1.0,3.0,-46.5,327.6,Depth (m)
RAW_20230719_021049.840.sgy,split_04_ch1750_2155,1750,2155,0003_RAW_20230719_021049.840,2,split_04_ch1750_2155/0003_RAW_20230719_021049.840/seg_002.png,2000,4000,2.0,4.0,-46.5,327.6,Depth (m)
RAW_20230719_021049.840.sgy,split_04_ch1750_2155,1750,2155,0003_RAW_20230719_021049.840,3,split_04_ch1750_2155/0003_RAW_20230719_021049.840/seg_003.png,3000,5000,3.0,5.0,-46.5,327.6,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch0400_0805,400,805,0004_RAW_20230719_021757.860,0,split_01_ch0400_0805/0004_RAW_20230719_021757.860/seg_000.png,0,2000,0.0,2.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch0400_0805,400,805,0004_RAW_20230719_021757.860,1,split_01_ch0400_0805/0004_RAW_20230719_021757.860/seg_001.png,1000,3000,1.0,3.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch0400_0805,400,805,0004_RAW_20230719_021757.860,2,split_01_ch0400_0805/0004_RAW_20230719_021757.860/seg_002.png,2000,4000,2.0,4.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch0400_0805,400,805,0004_RAW_20230719_021757.860,3,split_01_ch0400_0805/0004_RAW_20230719_021757.860/seg_003.png,3000,5000,3.0,5.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021757.860.sgy,split_02_ch0850_1255,850,1255,0004_RAW_20230719_021757.860,0,split_02_ch0850_1255/0004_RAW_20230719_021757.860/seg_000.png,0,2000,0.0,2.0,-968.8,-553.7,Depth (m)
RAW_20230719_021757.860.sgy,split_02_ch0850_1255,850,1255,0004_RAW_20230719_021757.860,1,split_02_ch0850_1255/0004_RAW_20230719_021757.860/seg_001.png,1000,3000,1.0,3.0,-968.8,-553.7,Depth (m)
RAW_20230719_021757.860.sgy,split_02_ch0850_1255,850,1255,0004_RAW_20230719_021757.860,2,split_02_ch0850_1255/0004_RAW_20230719_021757.860/seg_002.png,2000,4000,2.0,4.0,-968.8,-553.7,Depth (m)
