[INFO] mapping csv loaded: ./FORGE_DAS_Circulation2023_ChannelMapping.csv
[INFO] y-axis values: Depth (m)
[INFO] data_dir=./data/event_2417
[INFO] num_files=257
[INFO] splits=[(2200, 2605), (2650, 3055), (3100, 3505), (3550, 3955)]
[INFO] win_sec=2.0, stride_sec=1.0
[INFO] done 19/257 | RAW_20230719_032930.400.sgy | split_03_ch3100_3505
[INFO] done 19/257 | RAW_20230719_032930.400.sgy | split_04_ch3550_3955
[INFO] done 20/257 | RAW_20230719_032951.960.sgy | split_01_ch2200_2605
[INFO] done 20/257 | RAW_20230719_032951.960.sgy | split_02_ch2650_3055
[INFO] done 20/257 | RAW_20230719_032951.960.sgy | split_03_ch3100_3505
[INFO] done 20/257 | RAW_20230719_032951.960.sgy | split_04_ch3550_3955
[INFO] done 21/257 | RAW_20230719_034045.220.sgy | split_01_ch2200_2605
[INFO] done 21/257 | RAW_20230719_034045.220.sgy | split_02_ch2650_3055
[INFO] done 21/257 | RAW_20230719_034045.220.sgy | split_03_ch3100_3505
[INFO] done 21/257 | RAW_20230719_034045.220.sgy | split_04_ch3550_3955
[INFO] done 22/257 | RAW_20230719_034908.440.sgy | split_01_ch2200_2605
[INFO] done 22/257 | RAW_20230719_034908.440.sgy | split_02_ch2650_3055
[INFO] done 22/257 | RAW_20230719_034908.440.sgy | split_03_ch3100_3505
[INFO] done 22/257 | RAW_20230719_034908.440.sgy | split_04_ch3550_3955
[INFO] done 23/257 | RAW_20230719_034956.660.sgy | split_01_ch2200_2605
[INFO] done 23/257 | RAW_20230719_034956.660.sgy | split_02_ch2650_3055
[INFO] done 23/257 | RAW_20230719_034956.660.sgy | split_03_ch3100_3505
[INFO] done 23/257 | RAW_20230719_034956.660.sgy | split_04_ch3550_3955
[INFO] done 24/257 | RAW_20230719_035325.460.sgy | split_01_ch2200_2605
[INFO] done 24/257 | RAW_20230719_035325.460.sgy | split_02_ch2650_3055
[INFO] done 24/257 | RAW_20230719_035325.460.sgy | split_03_ch3100_3505
[INFO] done 24/257 | RAW_20230719_035325.460.sgy | split_04_ch3550_3955
[INFO] done 25/257 | RAW_20230719_035436.600.sgy | split_01_ch2200_2605
[INFO] done 25/257 | RAW_20230719_035436.600.sgy | split_02_ch2650_3055
[INFO] done 25/257 | RAW_20230719_035436.600.sgy | split_03_ch3100_3505
[INFO] done 25/257 | RAW_20230719_035436.600.sgy | split_04_ch3550_3955
[INFO] done 26/257 | RAW_20230719_035957.680.sgy | split_01_ch2200_2605
[INFO] done 26/257 | RAW_20230719_035957.680.sgy | split_02_ch2650_3055
[INFO] done 26/257 | RAW_20230719_035957.680.sgy | split_03_ch3100_3505
[INFO] done 26/257 | RAW_20230719_035957.680.sgy | split_04_ch3550_3955
[INFO] done 27/257 | RAW_20230719_040051.760.sgy | split_01_ch2200_2605
[INFO] done 27/257 | RAW_20230719_040051.760.sgy | split_02_ch2650_3055
[INFO] done 27/257 | RAW_20230719_040051.760.sgy | split_03_ch3100_3505
[INFO] done 27/257 | RAW_20230719_040051.760.sgy | split_04_ch3550_3955
[INFO] done 28/257 | RAW_20230719_040055.300.sgy | split_01_ch2200_2605
[INFO] done 28/257 | RAW_20230719_040055.300.sgy | split_02_ch2650_3055
[INFO] done 28/257 | RAW_20230719_040055.300.sgy | split_03_ch3100_3505
[INFO] done 28/257 | RAW_20230719_040055.300.sgy | split_04_ch3550_3955
[INFO] done 29/257 | RAW_20230719_040116.080.sgy | split_01_ch2200_2605
[INFO] done 29/257 | RAW_20230719_040116.080.sgy | split_02_ch2650_3055
[INFO] done 29/257 | RAW_20230719_040116.080.sgy | split_03_ch3100_3505
[INFO] done 29/257 | RAW_20230719_040116.080.sgy | split_04_ch3550_3955
[INFO] done 30/257 | RAW_20230719_040132.780.sgy | split_01_ch2200_2605
[INFO] done 30/257 | RAW_20230719_040132.780.sgy | split_02_ch2650_3055
[INFO] done 30/257 | RAW_20230719_040132.780.sgy | split_03_ch3100_3505
[INFO] done 30/257 | RAW_20230719_040132.780.sgy | split_04_ch3550_3955
[INFO] done 31/257 | RAW_20230719_040153.740.sgy | split_01_ch2200_2605
[INFO] done 31/257 | RAW_20230719_040153.740.sgy | split_02_ch2650_3055
[INFO] done 31/257 | RAW_20230719_040153.740.sgy | split_03_ch3100_3505
[INFO] done 31/257 | RAW_20230719_040153.740.sgy | split_04_ch3550_3955
[INFO] done 32/257 | RAW_20230719_040253.400.sgy | split_01_ch2200_2605
[INFO] done 32/257 | RAW_20230719_040253.400.sgy | split_02_ch2650_3055
[INFO] done 32/257 | RAW_20230719_040253.400.sgy | split_03_ch3100_3505
[INFO] done 32/257 | RAW_20230719_040253.400.sgy | split_04_ch3550_3955
[INFO] done 33/257 | RAW_20230719_040433.560.sgy | split_01_ch2200_2605
[INFO] done 33/257 | RAW_20230719_040433.560.sgy | split_02_ch2650_3055
[INFO] done 33/257 | RAW_20230719_040433.560.sgy | split_03_ch3100_3505
[INFO] done 33/257 | RAW_20230719_040433.560.sgy | split_04_ch3550_3955
[INFO] done 34/257 | RAW_20230719_041155.580.sgy | split_01_ch2200_2605
[INFO] done 34/257 | RAW_20230719_041155.580.sgy | split_02_ch2650_3055
[INFO] done 34/257 | RAW_20230719_041155.580.sgy | split_03_ch3100_3505
[INFO] done 34/257 | RAW_20230719_041155.580.sgy | split_04_ch3550_3955
[INFO] done 35/257 | RAW_20230719_041343.440.sgy | split_01_ch2200_2605
[INFO] done 35/257 | RAW_20230719_041343.440.sgy | split_02_ch2650_3055
[INFO] done 35/257 | RAW_20230719_041343.440.sgy | split_03_ch3100_3505
[INFO] done 35/257 | RAW_20230719_041343.440.sgy | split_04_ch3550_3955
[INFO] done 36/257 | RAW_20230719_041710.280.sgy | split_01_ch2200_2605
[INFO] done 36/257 | RAW_20230719_041710.280.sgy | split_02_ch2650_3055
[INFO] done 36/257 | RAW_20230719_041710.280.sgy | split_03_ch3100_3505
[INFO] done 36/257 | RAW_20230719_041710.280.sgy | split_04_ch3550_3955
[INFO] done 37/257 | RAW_20230719_042002.020.sgy | split_01_ch2200_2605
[INFO] done 37/257 | RAW_20230719_042002.020.sgy | split_02_ch2650_3055
[INFO] done 37/257 | RAW_20230719_042002.020.sgy | split_03_ch3100_3505
[INFO] done 37/257 | RAW_20230719_042002.020.sgy | split_04_ch3550_3955
[INFO] done 38/257 | RAW_20230719_042006.560.sgy | split_01_ch2200_2605
[INFO] done 38/257 | RAW_20230719_042006.560.sgy | split_02_ch2650_3055
[INFO] done 38/257 | RAW_20230719_042006.560.sgy | split_03_ch3100_3505
[INFO] done 38/257 | RAW_20230719_042006.560.sgy | split_04_ch3550_3955
[INFO] done 39/257 | RAW_20230719_043103.860.sgy | split_01_ch2200_2605
[INFO] done 39/257 | RAW_20230719_043103.860.sgy | split_02_ch2650_3055
