sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_084920.980.sgy,split_02_ch2650_3055,2650,3055,0093_RAW_20230719_084920.980,0,split_02_ch2650_3055/0093_RAW_20230719_084920.980/seg_000.png,0,2000,0.0,2.0,545.5,735.4,Depth (m)
RAW_20230719_084920.980.sgy,split_02_ch2650_3055,2650,3055,0093_RAW_20230719_084920.980,1,split_02_ch2650_3055/0093_RAW_20230719_084920.980/seg_001.png,1000,3000,1.0,3.0,545.5,735.4,Depth (m)
RAW_20230719_084920.980.sgy,split_02_ch2650_3055,2650,3055,0093_RAW_20230719_084920.980,2,split_02_ch2650_3055/0093_RAW_20230719_084920.980/seg_002.png,2000,4000,2.0,4.0,545.5,735.4,Depth (m)
RAW_20230719_084920.980.sgy,split_02_ch2650_3055,2650,3055,0093_RAW_20230719_084920.980,3,split_02_ch2650_3055/0093_RAW_20230719_084920.980/seg_003.png,3000,5000,3.0,5.0,545.5,735.4,Depth (m)
