sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,2,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,3,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,0,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,1,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,2,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,3,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_023754.260.sgy,split_01_ch4000_4405,4000,4405,0007_RAW_20230719_023754.260,0,split_01_ch4000_4405/0007_RAW_20230719_023754.260/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_023754.260.sgy,split_01_ch4000_4405,4000,4405,0007_RAW_20230719_023754.260,1,split_01_ch4000_4405/0007_RAW_20230719_023754.260/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_023754.260.sgy,split_01_ch4000_4405,4000,4405,0007_RAW_20230719_023754.260,2,split_01_ch4000_4405/0007_RAW_20230719_023754.260/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_023754.260.sgy,split_01_ch4000_4405,4000,4405,0007_RAW_20230719_023754.260,3,split_01_ch4000_4405/0007_RAW_20230719_023754.260/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025343.140.sgy,split_01_ch4000_4405,4000,4405,0008_RAW_20230719_025343.140,0,split_01_ch4000_4405/0008_RAW_20230719_025343.140/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025343.140.sgy,split_01_ch4000_4405,4000,4405,0008_RAW_20230719_025343.140,1,split_01_ch4000_4405/0008_RAW_20230719_025343.140/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025343.140.sgy,split_01_ch4000_4405,4000,4405,0008_RAW_20230719_025343.140,2,split_01_ch4000_4405/0008_RAW_20230719_025343.140/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025343.140.sgy,split_01_ch4000_4405,4000,4405,0008_RAW_20230719_025343.140,3,split_01_ch4000_4405/0008_RAW_20230719_025343.140/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025648.380.sgy,split_01_ch4000_4405,4000,4405,0009_RAW_20230719_025648.380,0,split_01_ch4000_4405/0009_RAW_20230719_025648.380/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025648.380.sgy,split_01_ch4000_4405,4000,4405,0009_RAW_20230719_025648.380,1,split_01_ch4000_4405/0009_RAW_20230719_025648.380/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025648.380.sgy,split_01_ch4000_4405,4000,4405,0009_RAW_20230719_025648.380,2,split_01_ch4000_4405/0009_RAW_20230719_025648.380/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025648.380.sgy,split_01_ch4000_4405,4000,4405,0009_RAW_20230719_025648.380,3,split_01_ch4000_4405/0009_RAW_20230719_025648.380/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025836.060.sgy,split_01_ch4000_4405,4000,4405,0010_RAW_20230719_025836.060,0,split_01_ch4000_4405/0010_RAW_20230719_025836.060/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025836.060.sgy,split_01_ch4000_4405,4000,4405,0010_RAW_20230719_025836.060,1,split_01_ch4000_4405/0010_RAW_20230719_025836.060/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025836.060.sgy,split_01_ch4000_4405,4000,4405,0010_RAW_20230719_025836.060,2,split_01_ch4000_4405/0010_RAW_20230719_025836.060/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025836.060.sgy,split_01_ch4000_4405,4000,4405,0010_RAW_20230719_025836.060,3,split_01_ch4000_4405/0010_RAW_20230719_025836.060/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025842.080.sgy,split_01_ch4000_4405,4000,4405,0011_RAW_20230719_025842.080,0,split_01_ch4000_4405/0011_RAW_20230719_025842.080/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025842.080.sgy,split_01_ch4000_4405,4000,4405,0011_RAW_20230719_025842.080,1,split_01_ch4000_4405/0011_RAW_20230719_025842.080/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025842.080.sgy,split_01_ch4000_4405,4000,4405,0011_RAW_20230719_025842.080,2,split_01_ch4000_4405/0011_RAW_20230719_025842.080/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_025842.080.sgy,split_01_ch4000_4405,4000,4405,0011_RAW_20230719_025842.080,3,split_01_ch4000_4405/0011_RAW_20230719_025842.080/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030249.180.sgy,split_01_ch4000_4405,4000,4405,0012_RAW_20230719_030249.180,0,split_01_ch4000_4405/0012_RAW_20230719_030249.180/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030249.180.sgy,split_01_ch4000_4405,4000,4405,0012_RAW_20230719_030249.180,1,split_01_ch4000_4405/0012_RAW_20230719_030249.180/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030249.180.sgy,split_01_ch4000_4405,4000,4405,0012_RAW_20230719_030249.180,2,split_01_ch4000_4405/0012_RAW_20230719_030249.180/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030249.180.sgy,split_01_ch4000_4405,4000,4405,0012_RAW_20230719_030249.180,3,split_01_ch4000_4405/0012_RAW_20230719_030249.180/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030929.320.sgy,split_01_ch4000_4405,4000,4405,0013_RAW_20230719_030929.320,0,split_01_ch4000_4405/0013_RAW_20230719_030929.320/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030929.320.sgy,split_01_ch4000_4405,4000,4405,0013_RAW_20230719_030929.320,1,split_01_ch4000_4405/0013_RAW_20230719_030929.320/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030929.320.sgy,split_01_ch4000_4405,4000,4405,0013_RAW_20230719_030929.320,2,split_01_ch4000_4405/0013_RAW_20230719_030929.320/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030929.320.sgy,split_01_ch4000_4405,4000,4405,0013_RAW_20230719_030929.320,3,split_01_ch4000_4405/0013_RAW_20230719_030929.320/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030953.040.sgy,split_01_ch4000_4405,4000,4405,0014_RAW_20230719_030953.040,0,split_01_ch4000_4405/0014_RAW_20230719_030953.040/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030953.040.sgy,split_01_ch4000_4405,4000,4405,0014_RAW_20230719_030953.040,1,split_01_ch4000_4405/0014_RAW_20230719_030953.040/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030953.040.sgy,split_01_ch4000_4405,4000,4405,0014_RAW_20230719_030953.040,2,split_01_ch4000_4405/0014_RAW_20230719_030953.040/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_030953.040.sgy,split_01_ch4000_4405,4000,4405,0014_RAW_20230719_030953.040,3,split_01_ch4000_4405/0014_RAW_20230719_030953.040/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031236.560.sgy,split_01_ch4000_4405,4000,4405,0015_RAW_20230719_031236.560,0,split_01_ch4000_4405/0015_RAW_20230719_031236.560/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031236.560.sgy,split_01_ch4000_4405,4000,4405,0015_RAW_20230719_031236.560,1,split_01_ch4000_4405/0015_RAW_20230719_031236.560/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031236.560.sgy,split_01_ch4000_4405,4000,4405,0015_RAW_20230719_031236.560,2,split_01_ch4000_4405/0015_RAW_20230719_031236.560/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031236.560.sgy,split_01_ch4000_4405,4000,4405,0015_RAW_20230719_031236.560,3,split_01_ch4000_4405/0015_RAW_20230719_031236.560/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031715.160.sgy,split_01_ch4000_4405,4000,4405,0016_RAW_20230719_031715.160,0,split_01_ch4000_4405/0016_RAW_20230719_031715.160/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031715.160.sgy,split_01_ch4000_4405,4000,4405,0016_RAW_20230719_031715.160,1,split_01_ch4000_4405/0016_RAW_20230719_031715.160/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031715.160.sgy,split_01_ch4000_4405,4000,4405,0016_RAW_20230719_031715.160,2,split_01_ch4000_4405/0016_RAW_20230719_031715.160/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031715.160.sgy,split_01_ch4000_4405,4000,4405,0016_RAW_20230719_031715.160,3,split_01_ch4000_4405/0016_RAW_20230719_031715.160/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031752.460.sgy,split_01_ch4000_4405,4000,4405,0017_RAW_20230719_031752.460,0,split_01_ch4000_4405/0017_RAW_20230719_031752.460/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031752.460.sgy,split_01_ch4000_4405,4000,4405,0017_RAW_20230719_031752.460,1,split_01_ch4000_4405/0017_RAW_20230719_031752.460/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031752.460.sgy,split_01_ch4000_4405,4000,4405,0017_RAW_20230719_031752.460,2,split_01_ch4000_4405/0017_RAW_20230719_031752.460/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_031752.460.sgy,split_01_ch4000_4405,4000,4405,0017_RAW_20230719_031752.460,3,split_01_ch4000_4405/0017_RAW_20230719_031752.460/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
