sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230720_085822.540.sgy,split_02_ch2650_3055,2650,3055,0214_RAW_20230720_085822.540,0,split_02_ch2650_3055/0214_RAW_20230720_085822.540/seg_000.png,0,2000,0.0,2.0,545.5,735.4,Depth (m)
RAW_20230720_085822.540.sgy,split_02_ch2650_3055,2650,3055,0214_RAW_20230720_085822.540,1,split_02_ch2650_3055/0214_RAW_20230720_085822.540/seg_001.png,1000,3000,1.0,3.0,545.5,735.4,Depth (m)
RAW_20230720_085822.540.sgy,split_02_ch2650_3055,2650,3055,0214_RAW_20230720_085822.540,2,split_02_ch2650_3055/0214_RAW_20230720_085822.540/seg_002.png,2000,4000,2.0,4.0,545.5,735.4,Depth (m)
RAW_20230720_085822.540.sgy,split_02_ch2650_3055,2650,3055,0214_RAW_20230720_085822.540,3,split_02_ch2650_3055/0214_RAW_20230720_085822.540/seg_003.png,3000,5000,3.0,5.0,545.5,735.4,Depth (m)
