sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_113839.760.sgy,split_02_ch0850_1255,850,1255,0121_RAW_20230719_113839.760,0,split_02_ch0850_1255/0121_RAW_20230719_113839.760/seg_000.png,0,2000,0.0,2.0,-968.8,-553.7,Depth (m)
RAW_20230719_113839.760.sgy,split_02_ch0850_1255,850,1255,0121_RAW_20230719_113839.760,1,split_02_ch0850_1255/0121_RAW_20230719_113839.760/seg_001.png,1000,3000,1.0,3.0,-968.8,-553.7,Depth (m)
RAW_20230719_113839.760.sgy,split_02_ch0850_1255,850,1255,0121_RAW_20230719_113839.760,2,split_02_ch0850_1255/0121_RAW_20230719_113839.760/seg_002.png,2000,4000,2.0,4.0,-968.8,-553.7,Depth (m)
RAW_20230719_113839.760.sgy,split_02_ch0850_1255,850,1255,0121_RAW_20230719_113839.760,3,split_02_ch0850_1255/0121_RAW_20230719_113839.760/seg_003.png,3000,5000,3.0,5.0,-968.8,-553.7,Depth (m)
