sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230720_073746.420.sgy,split_01_ch2200_2605,2200,2605,0197_RAW_20230720_073746.420,0,split_01_ch2200_2605/0197_RAW_20230720_073746.420/seg_000.png,0,2000,0.0,2.0,357.4,526.2,Depth (m)
RAW_20230720_073746.420.sgy,split_01_ch2200_2605,2200,2605,0197_RAW_20230720_073746.420,1,split_01_ch2200_2605/0197_RAW_20230720_073746.420/seg_001.png,1000,3000,1.0,3.0,357.4,526.2,Depth (m)
RAW_20230720_073746.420.sgy,split_01_ch2200_2605,2200,2605,0197_RAW_20230720_073746.420,2,split_01_ch2200_2605/0197_RAW_20230720_073746.420/seg_002.png,2000,4000,2.0,4.0,357.4,526.2,Depth (m)
RAW_20230720_073746.420.sgy,split_01_ch2200_2605,2200,2605,0197_RAW_20230720_073746.420,3,split_01_ch2200_2605/0197_RAW_20230720_073746.420/seg_003.png,3000,5000,3.0,5.0,357.4,526.2,Depth (m)
