sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_040433.560.sgy,split_04_ch3550_3955,3550,3955,0032_RAW_20230719_040433.560,0,split_04_ch3550_3955/0032_RAW_20230719_040433.560/seg_000.png,0,2000,0.0,2.0,-1483.9,-1070.2,Depth (m)
RAW_20230719_040433.560.sgy,split_04_ch3550_3955,3550,3955,0032_RAW_20230719_040433.560,1,split_04_ch3550_3955/0032_RAW_20230719_040433.560/seg_001.png,1000,3000,1.0,3.0,-1483.9,-1070.2,Depth (m)
RAW_20230719_040433.560.sgy,split_04_ch3550_3955,3550,3955,0032_RAW_20230719_040433.560,2,split_04_ch3550_3955/0032_RAW_20230719_040433.560/seg_002.png,2000,4000,2.0,4.0,-1483.9,-1070.2,Depth (m)
RAW_20230719_040433.560.sgy,split_04_ch3550_3955,3550,3955,0032_RAW_20230719_040433.560,3,split_04_ch3550_3955/0032_RAW_20230719_040433.560/seg_003.png,3000,5000,3.0,5.0,-1483.9,-1070.2,Depth (m)
